번호,한글명,영문명
0306,"갑각류(껍데기가 붙어 있는 것인지에 상관없으며 살아 있는 것과 신선한 것·냉장한 것·냉동한 것·건조한 것·염장이나 염수장한 것), 훈제한 갑각류(껍데기가 붙어 있는 것인지 또는 훈제 전이나 훈제과정 중에 조리한 것인지에 상관없다), 껍데기가 붙어 있는 상태로 물에 찌거나 삶은 갑각류(냉장한 것·냉동한 것·건조한 것·염장이나 염수장한 것인지에 상관없다)","Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked crustaceans, whether in shell or not, whether or not cooked before or during the smoking process; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine."
0307,"연체동물(껍데기가 붙어 있는지에 상관없으며 살아 있는 것과 신선한 것ㆍ냉장이나 냉동한 것ㆍ건조한 것ㆍ염장이나 염수장한 것), 훈제한 연체동물(껍데기가 붙어 있는 것인지 또는 훈제 전이나 훈제과정 중에 조리한 것인지에 상관없다)","Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked molluscs, whether in shell or not, whether or not cooked before or during the smoking process."
0308,"수생(水生) 무척추동물(갑각류와 연체동물은 제외하며, 살아 있는 것과 신선한 것·냉장한 것·냉동한 것·건조한 것, 염장이나 염수장한 것), 훈제한 수생(水生) 무척추동물(갑각류와 연체동물은 제외하며, 훈제 전이나 훈제과정 중에 조리한 것인지에 상관없다)","Aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; smoked aquatic invertebrates other than crustaceans and molluscs, whether or not cooked before or during the smoking process."
0309,어류ㆍ갑각류ㆍ연체동물과 그 밖의 수생무척추동물의 고운 가루ㆍ거친 가루와 펠릿(pellet)(식용에 적합한 것으로 한정한다),"Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption."
0401,밀크와 크림(농축하지 않은 것으로서 설탕이나 그 밖의 감미료를 첨가하지 않은 것으로 한정한다),"Milk and cream, not concentrated nor containing added sugar or other sweetening matter."
0402,밀크와 크림(농축하였거나 설탕이나 그 밖의 감미료를 첨가한 것으로 한정한다),"Milk and cream, concentrated or containing added sugar or other sweetening matter."
0403,"요구르트, 버터밀크ㆍ응고밀크와 응고크림ㆍ케피어(kephir)와 그 밖의 발효되거나 산성화된 밀크와 크림(농축한 것인지 또는 설탕이나 그 밖의 감미료를 첨가한 것인지 또는 향ㆍ과실ㆍ견과류ㆍ코코아를 첨가한 것인지에 상관없다)","Yogurt; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa."
0404,유장(농축한 것인지 또는 설탕이나 그 밖의 감미료를 첨가한 것인지에 상관없다)과 따로 분류된 것 외의 천연밀크의 성분을 함유하는 물품(설탕이나 그 밖의 감미료를 첨가한 것인지에 상관없다),"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included."
0405,"버터와 그 밖의 지방과 기름(밀크에서 얻은 것으로 한정한다), 데어리 스프레드(dairy spread)",Butter and other fats and oils derived from milk; dairy spreads.
0406,치즈와 커드(curd),Cheese and curd.
0407,"새의 알(껍질이 붙은 것으로서 신선한 것, 보존처리하거나 조리한 것으로 한정한다)","Bird's eggs, in shell, fresh, preserved or cooked."
0408,"새의 알(껍질이 붙지 않은 것)과 알의 노른자위(신선한 것, 건조한 것, 물에 삶았거나 찐 것, 성형한 것, 냉동한 것이나 그 밖의 보존처리를 한 것으로 한정하며, 설탕이나 그 밖의 감미료를 첨가한 것인지에 상관없다)","Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter."
0409,천연꿀,Natural honey.
0410,곤충과 그 밖의 식용인 동물성 생산품(따로 분류되지 않은 것으로 한정한다) ,"Insects and other edible products of animal origin, not elsewhere specified or included."
0501,"사람 머리카락(가공하지 않은 것으로 한정하며, 세척이나 세정을 했는지에 상관없다)과 그 웨이스트(waste)","Human hair, unworked, whether or not washed or scoured; waste of human hair."
0502,돼지털ㆍ멧돼지털ㆍ오소리털과 그 밖의 브러시 제조용 동물의 털과 이들의 웨이스트(waste),"Pigs', hogs' or boars' bristles and hair; badger hair and other brush making hair; waste of such bristles or hair."
0504,동물(어류는 제외한다)의 장ㆍ방광ㆍ위의 전체나 부분(신선한 것ㆍ냉장이나 냉동한 것ㆍ염장이나 염수장한 것ㆍ건조한 것ㆍ훈제한 것으로 한정한다),"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked."
0505,"새의 깃털이나 솜털이 붙은 가죽과 그 밖의 부분, 깃털과 그 부분(가장자리를 정리했는지에 상관없다), 새의 솜털(청정ㆍ소독ㆍ보존을 위한 처리 이상의 가공을 하지 않은 것으로 한정한다), 새의 깃털이나 그 부분의 가루와 웨이스트(waste)","Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers."
0506,"뼈와 혼코어(horn-core)[가공하지 않은 것, 탈지(脫脂)한 것, 단순히 정리한 것(특정한 형상으로 깎은 것은 제외한다), 산(酸)처리를 하거나 탈교한(degelatinised) 것], 이들의 가루와 웨이스트(waste)","Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinised; powder and waste of these products."
0507,"아이보리(ivory)ㆍ귀갑(龜甲)ㆍ고래수염과 그 털ㆍ뿔(horn)ㆍ사슴뿔ㆍ발굽ㆍ발톱ㆍ부리(가공하지 않은 것과 단순히 정리한 것으로 한정하며, 특정한 모양으로 깎은 것은 제외한다), 이들의 가루와 웨이스트(waste)","Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and wasted of these products."
0508,"산호와 이와 유사한 물품(가공하지 않은 것과 단순히 정리한 것으로 한정하며, 더 이상의 가공을 한 것은 제외한다), 연체동물ㆍ갑각류ㆍ극피동물의 껍데기와 오징어뼈(가공하지 않은 것과 단순히 정리한 것으로 한정하며, 특정한 모양으로 깎은 것은 제외한다)와 이들의 가루와 웨이스트(waste)","Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste thereof. "
0510,"용연향(ambergris)ㆍ해리향(castoreum)ㆍ시빗(civet)과 사향, 캔대리디즈(cantharides), 쓸개즙(건조했는지에 상관없다), 의약품 제조용 선(腺)이나 그 밖의 동물성 생산품(신선한 것, 냉장ㆍ냉동이나 그 밖의 방법으로 일시적으로 보존하기 위하여 처리한 것으로 한정한다)","Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products, used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved."
0511,따로 분류되지 않은 동물성 생산품과 제1류나 제3류의 동물의 사체로서 식용에 적합하지 않은 것,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption."
0601,"인경(鱗莖)ㆍ괴경(塊莖)ㆍ괴근(塊根)ㆍ구경(球莖)ㆍ관근(冠根)ㆍ근경(根莖)으로서 휴면(休眠)상태이거나 자라고 있거나 꽃이 피어 있는 것, 치커리ㆍ치커리 뿌리(제1212호의 뿌리는 제외한다)","Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 12.12."
0602,"그 밖의 살아 있는 식물(뿌리를 포함한다)ㆍ꺾꽂이용 가지ㆍ접붙임용 가지, 버섯의 종균(種菌)","Other live plants (including their roots), cuttings and slips; mushroom spawn."
0603,절화(切花)와 꽃봉오리(신선한 것과 건조ㆍ염색ㆍ표백ㆍ침투나 그 밖의 가공을 한 것으로서 꽃다발용이나 장식용에 적합한 것으로 한정한다),"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared."
0604,"식물의 잎ㆍ가지와 그 밖의 부분(꽃과 꽃봉오리가 없는 것으로 한정한다), 풀ㆍ이끼ㆍ지의(地衣)(신선한 것과 건조ㆍ염색ㆍ표백ㆍ침투나 그 밖의 가공을 한 것으로서 꽃다발용이나 장식용에 적합한 것으로 한정한다)","Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared."
0701,감자(신선한 것이나 냉장한 것으로 한정한다),"Potatoes, fresh or chilled."
0702,토마토(신선한 것이나 냉장한 것으로 한정한다),"Tomatoes, fresh or chilled."
0703,양파ㆍ샬롯(shallot)ㆍ마늘ㆍ리크(leek)와 그 밖의 파속의 채소(신선한 것이나 냉장한 것으로 한정한다),"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled."
0704,양배추ㆍ꽃양배추ㆍ콜라비(kohlrabi)ㆍ케일(kale)과 그 밖에 이와 유사한 식용 배추속(신선한 것이나 냉장한 것으로 한정한다),"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled."
0705,상추[락투카 사티바(Lactuca sativa)]와 치커리(chicory)[시커리엄(Cichorium)속](신선한 것이나 냉장한 것으로 한정한다),Lettuce (Lactuca sativa) and chicory (Cichorium spp.) fresh or chilled.
0706,당근ㆍ순무ㆍ샐러드용 비트(beetroot)ㆍ선모(仙茅)ㆍ셀러리액(celeriac)ㆍ무와 그 밖에 이와 유사한 식용 뿌리(신선한 것이나 냉장한 것으로 한정한다),"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled."
0707,오이류(신선한 것이나 냉장한 것으로 한정한다),"Cucumbers and gherkins, fresh or chilled."
0708,채두류(菜豆類)(꼬투리가 있는지에 상관없으며 신선한 것이나 냉장한 것으로 한정한다),"Leguminous vegetables, shelled or unshelled, fresh or chilled."
0709,그 밖의 채소(신선한 것이나 냉장한 것으로 한정한다),"Other vegetables, fresh or chilled."
0710,냉동채소(조리하지 않은 것이나 물에 삶거나 쪄서 조리한 것으로 한정한다),"Vegetables (uncooked or cooked by steaming or boiling in water), frozen."
0711,일시적으로 보존하기 위하여 처리한 채소(그 상태로는 식용에 적합하지 않은 것으로 한정한다),"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption."
0712,"건조한 채소(원래 모양인 것, 절단한 것, 얇게 썬 것, 부순 것, 가루 모양인 것으로 한정하며, 더 이상 조제한 것은 제외한다)","Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared."
0713,건조한 채두류(菜豆類)(꼬투리가 없는 것으로서 껍질을 제거한 것인지 또는 쪼갠 것인지에 상관없다),"Dried leguminous vegetables, shelled, whether or not skinned or split."
0714,"매니옥(manioc)ㆍ칡뿌리ㆍ살렙(salep)ㆍ돼지감자(Jerusalem artichoke)ㆍ고구마와 그 밖에 이와 유사한 전분이나 이눌린(inulin)을 다량 함유한 뿌리ㆍ괴경(塊莖)[얇게 썬 것이나 펠릿(pellet) 모양인지에 상관없으며 신선한 것, 냉장한 것ㆍ냉동한 것, 건조한 것으로 한정한다], 사고야자(sago)의 심(pith)","Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith."
0801,"코코넛ㆍ브라질너트ㆍ캐슈너트(cashew nut)(신선한 것이나 건조한 것으로 한정하며, 껍데기나 껍질을 벗겼는지에 상관없다)","Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled."
0802,"그 밖의 견과류(신선하거나 건조한 것으로 한정하며, 껍데기나 껍질을 벗겼는지에 상관없다)","Other nuts, fresh or dried, whether or not shelled or peeled."
0803,"바나나[플랜틴(plantain)을 포함하며, 신선하거나 건조한 것으로 한정한다]","Bananas, including plantains, fresh or dried."
0804,대추야자ㆍ무화과ㆍ파인애플ㆍ아보카도(avocado)ㆍ구아바(guava)ㆍ망고(mango)ㆍ망고스틴(mangosteen)(신선하거나 건조한 것으로 한정한다),"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried."
0805,감귤류의 과실(신선하거나 건조한 것으로 한정한다),"Citrus fruit, fresh or dried."
0806,포도(신선하거나 건조한 것으로 한정한다),"Grapes, fresh or dried."
0807,멜론(수박을 포함한다)과 포포(papaw)[파파야(papaya)](신선한 것으로 한정한다),"Melons (including watermelons) and papaws (papayas), fresh."
0808,사과ㆍ배ㆍ마르멜로(quince)(신선한 것으로 한정한다),"Apples, pears and quinces, fresh."
0809,살구ㆍ체리ㆍ복숭아[넥터린(nectarine)을 포함한다]ㆍ자두ㆍ슬로(sloe)(신선한 것으로 한정한다),"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh."
0810,그 밖의 과실(신선한 것으로 한정한다),"Other fruit, fresh."
0811,"냉동 과실과 냉동 견과류(조리하지 않은 것이나 물에 삶거나 찐 것으로 한정하며, 설탕이나 그 밖의 감미료를 첨가했는지에 상관없다)","Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter."
0812,일시적으로 보존하기 위하여 처리한 과실과 견과류(그 상태로는 식용에 적합하지 않은 것으로 한정한다),"Fruit and nuts, provisionally preserved, but unsuitable in that state for immediate consumption."
0813,"건조한 과실(제0801호부터 제0806호까지에 해당하는 것은 제외한다), 이 류의 견과류나 건조한 과실의 혼합물","Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter."
0814,"감귤류의 껍질과 멜론(수박을 포함한다)의 껍질(신선한 것, 냉동하거나 건조한 것, 염수ㆍ유황수나 그 밖의 저장용액으로 일시적으로 보존하기 위하여 처리한 것으로 한정한다)","Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions."
0901,"커피(볶았는지, 카페인을 제거했는지에 상관없다), 커피의 껍데기와 껍질, 커피를 함유한 커피 대용물(커피의 포함비율은 상관없다)","Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion."
0902,차류(맛과 향을 첨가했는지에 상관없다),"Tea, whether or not flavoured."
0903,마테(maté),Maté.
0904,"후추[파이퍼(Piper)속의 것으로 한정한다], 건조하거나 부수거나 잘게 부순 고추류[캡시컴(Capsicum)속]의 열매나 피멘타(Pimenta)속의 열매",Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta.
0905,바닐라,Vanilla.
0906,계피와 계피나무의 꽃,Cinnamon and cinnamon-tree flowers.
0907,정향(丁香)(과실ㆍ꽃ㆍ꽃대로 한정한다),"Cloves (whole fruit, cloves and stems)."
0908,육두구(肉荳蔲)ㆍ메이스(mace)ㆍ소두구(小荳蔲),"Nutmeg, mace and cardamoms."
0909,아니스(anise)ㆍ대회향(大茴香)ㆍ회향(茴香)ㆍ코리앤더(coriander)ㆍ커민(cumin)ㆍ캐러웨이(caraway)의 씨와 주니퍼(juniper)의 열매,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries."
0910,생강ㆍ사프란(saffron)ㆍ심황[강황(薑黃)]ㆍ타임(thyme)ㆍ월계수 잎ㆍ카레와 그 밖의 향신료,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices."
1001,밀과 메슬린(meslin),Wheat and meslin.
1002,호밀,Rye.
1003,보리,Barley.
1004,귀리,Oats.
1005,옥수수,Maize (corn).
1006,쌀,Rice.
1007,수수,Grain sorghum.
1008,메밀ㆍ밀리트(millet)ㆍ카나리시드(canary seed)와 그 밖의 곡물,"Buckwheat, millet and canary seeds; other cereals."
1101,밀가루나 메슬린(meslin) 가루,Wheat or meslin flour.
1102,곡물의 고운 가루[밀가루나 메슬린(meslin) 가루는 제외한다],Cereal flours other than of wheat or meslin.
1103,곡물의 부순 알곡ㆍ거친 가루ㆍ펠릿(pellet),"Cereal groats, meal and pellets."
1104,"그 밖의 가공한 곡물[예: 껍질을 벗긴 것ㆍ압착한 것ㆍ플레이크(flake) 모양인 것ㆍ진주 모양인 것ㆍ얇은 조각으로 만든 것ㆍ거칠게 빻은 것(제1006호의 쌀은 제외한다)], 곡물의 씨눈으로서 원래 모양인 것ㆍ압착한 것ㆍ플레이크(flake) 모양인 것ㆍ잘게 부순 것","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground."
1105,감자의 고운 가루ㆍ거친 가루ㆍ가루ㆍ플레이크(flake)ㆍ알갱이ㆍ펠릿(pellet),"Flour, meal, powder, flakes, granules and pellets of potatoes."
1106,"건조한 채두류(菜豆類)(제0713호의 것), 사고(sago)ㆍ뿌리나 괴경(塊莖)(제0714호의 것), 제8류 물품의 고운 가루ㆍ거친 가루ㆍ가루","Flour, meal and powder of the dried leguminous vegetables of heading 07.13, of sago or of roots or tubers of heading 07.14 or of the products of Chapter 8."
1107,맥아(볶은 것인지에 상관없다),"Malt, whether or not roasted."
1108,전분과 이눌린(inulin),Starches; inulin.
1109,밀의 글루텐(gluten)(건조했는지에 상관없다),"Wheat gluten, whether or not dried."
1201,대두(부수었는지에 상관없다),"Soya beans, whether or not broken."
1202,"땅콩(볶거나 그 밖의 조리를 한 것은 제외하며, 껍데기를 벗겼는지, 부수었는지에 상관없다)","Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken."
1203,코프라(copra),Copra.
1204,아마씨(부수었는지에 상관없다),"Linseed, whether or not broken."
1205,"유채(rape, colza)씨(부수었는지에 상관없다)","Rape or colza seeds, whether or not broken."
1206,해바라기씨(부수었는지에 상관없다),"Sunflower seeds, whether or not broken."
1207,그 밖의 채유(採油)에 적합한 종자와 과실(부수었는지에 상관없다),"Other oil seeds and oleaginous fruits, whether or not broken."
1208,채유(採油)에 적합한 종자와 과실의 고운 가루와 거친 가루(겨자의 고운 가루와 거친 가루는 제외한다),"Flours and meals of oil seeds or oleaginous fruit, other than those of mustard."
1209,파종용 종자ㆍ과실ㆍ포자(胞子),"Seeds, fruit and spores, of a kind used for sowing."
1210,"홉(hop)[신선하거나 건조한 것으로서 잘게 부순 것인지 또는 가루나 펠릿(pellet) 모양인지에 상관없다], 루플린(lupulin)","Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin."
1211,"주로 향료용ㆍ의료용ㆍ살충용ㆍ살균용과 그 밖에 이와 유사한 용도에 적합한 식물과 그 부분(종자와 과실을 포함하고, 신선한 것ㆍ냉장한 것ㆍ냉동한 것ㆍ건조한 것에 한정하며, 절단하거나 잘게 부순 것인지 또는 가루로 된 것인지에 상관없다)","Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered."
1212,"로커스트콩(locust bean)ㆍ해초류와 그 밖의 조류(藻類)ㆍ사탕무와 사탕수수(신선한 것ㆍ냉장한 것ㆍ냉동한 것ㆍ건조한 것으로서 잘게 부수었는지에 상관없다), 주로 식용에 적합한 과실의 핵(核)과 그 밖의 식물성 생산품[볶지 않은 시코리엄 인티부스 새티범(Cichorium intybus sativum) 변종의 치커리(chicory) 뿌리를 포함한다]으로서 따로 분류되지 않은 것","Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sativum) of a kind used primarily for human consumption, not elsewhere specified or included."
1213,"곡물의 짚과 껍질[조제하지 않은 것으로 한정하며, 절단하거나 잘게 부수거나 압착한 것인지 또는 펠릿(pellet) 모양인지에 상관없다]","Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets."
1214,스위드(swede)ㆍ맹골드(mangold)ㆍ사료용 뿌리채소류(根菜類)ㆍ건초ㆍ루우산(lucerne)(알팔파)ㆍ클로버(clover)ㆍ샌포인(sainfoin)ㆍ사료용 케일(kale)ㆍ루핀(lupine)ㆍ베치(vetch)와 이와 유사한 사료용 식물[펠릿(pellet) 모양인지에 상관없다],"Swedes, mangolds, fodder roots, hay, lucerne (alfalfa), clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets."
1301,"락(lac), 천연 검ㆍ수지ㆍ검 수지ㆍ올레오레진(oleoresin)[예: 발삼(balsam)]","Lac; natural gums, resins, gum-resins and oleoresins (for example, balsams)."
1302,"식물성 수액과 추출물(extract), 펙틴질, 펙티닝산염(pectinate)과 펙틴산염(pectate), 식물성 원료에서 얻은 한천ㆍ그 밖의 점질물과 시커너(thickener)(변성 가공했는지에 상관없다)","Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other mucilages and thickeners, whether or not modified, derived from vegetable products."
1401,"편조물(編組物)에 주로 사용되는 식물성 재료[예: 대나무, 등나무, 갈대, 골풀, 버드나무 가지(osier), 라피아(raffia), 청정ㆍ표백ㆍ염색한 곡물의 짚과 라임나무(lime) 껍질]","Vegetable materials of a kind used primarily for plaiting (for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark)."
1404,따로 분류되지 않은 식물성 생산품,Vegetable products not elsewhere specified or included.
1501,돼지의 지방[라드(lard)를 포함한다]과 가금(家禽)의 지방(제0209호나 제1503호의 것은 제외한다),"Pig fat(including lard) and poultry fat, other than that of heading 02.09 or 15.03."
1502,소ㆍ면양ㆍ염소의 지방(제1503호의 것은 제외한다),"Fats of bovine animals, sheep or goats, other than those of heading 15.03."
1503,"라드스테아린(lard stearin), 라드유(lard oil), 올레오스테아린(oleostearin), 올레오유(oleo-oil), 탤로우유(tallow oil)로서 유화ㆍ혼합이나 그 밖의 조제를 하지 않은 것","Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared."
1504,어류나 바다에서 사는 포유동물의 지방과 기름 및 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다),"Fats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified."
1505,울그리스(wool grease)와 이것에서 얻은 지방성 물질[라놀린(lanolin)을 포함한다],Wool grease and fatty substances derived therefrom (including lanolin).
1506,그 밖의 동물성 지방과 기름 및 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다),"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified."
1507,대두유와 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다),"Soya-bean oil and its fractions, whether or not refined, but not chemically modified."
1508,땅콩기름과 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다),"Ground-nut oil and its fractions, whether or not refined, but not chemically modified."
1509,올리브유와 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다),"Olive oil and its fractions, whether or not refined, but not chemically modified."
1510,"그 밖의 올리브유와 그 분획물(올리브에서 얻은 것으로서 정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외하고, 이들의 기름이나 그 분획물이 제1509호의 기름이나 그 분획물과 혼합된 것을 포함한다)","Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 15.09."
1511,팜유와 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다),"Palm oil and its fractions, whether or not refined, but not chemically modified."
1512,해바라기씨유ㆍ잇꽃유ㆍ목화씨유와 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다),"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified."
1513,"야자[코프라(copra)]유, 팜핵유(palm kernel oil), 바바수유(babassu oil)와 이들의 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)","Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified."
1514,"유채유(rape oil, colza oil), 겨자유와 이들의 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)","Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified."
